domain,merchant_name,category,country,source,confidence
digitec.ch,Digitec,electronics,CH,manual_seed_2026-09-24,high
galaxus.ch,Galaxus,marketplace,CH,manual_seed_2026-09-24,high
galaxus.de,Galaxus DE,marketplace,DE,manual_seed_2026-09-24,high
brack.ch,Brack,electronics,CH,manual_seed_2026-09-24,high
microspot.ch,Microspot,electronics,CH,manual_seed_2026-09-24,high
interdiscount.ch,Interdiscount,electronics,CH,manual_seed_2026-09-24,high
melectronics.ch,Melectronics,electronics,CH,manual_seed_2026-09-24,high
fust.ch,Fust,appliances,CH,manual_seed_2026-09-24,high
mediaworld.ch,MediaMarkt Schweiz,electronics,CH,manual_seed_2026-09-24,high
ricardo.ch,Ricardo,marketplace,CH,manual_seed_2026-09-24,high
tutti.ch,Tutti,secondhand,CH,manual_seed_2026-09-24,high
anibis.ch,Anibis,secondhand,CH,manual_seed_2026-09-24,high
coop.ch,Coop Online,groceries,CH,manual_seed_2026-09-24,high
migros.ch,Migros Online,groceries,CH,manual_seed_2026-09-24,high
farmy.ch,Farmy,groceries,CH,manual_seed_2026-09-24,high
volg.ch,Volg,groceries,CH,manual_seed_2026-09-24,high
lidl.ch,Lidl Schweiz,groceries,CH,manual_seed_2026-09-24,high
ikea.ch,IKEA Schweiz,furniture,CH,manual_seed_2026-09-24,high
confor.ch,Conforama Schweiz,furniture,CH,manual_seed_2026-09-24,high
pfister.ch,Pfister,furniture,CH,manual_seed_2026-09-24,high
micasa.ch,Micasa,furniture,CH,manual_seed_2026-09-24,high
jumbo.ch,Jumbo,diy,CH,manual_seed_2026-09-24,high
hornbach.ch,Hornbach Schweiz,diy,CH,manual_seed_2026-09-24,high
obi.ch,OBI Schweiz,diy,CH,manual_seed_2026-09-24,high
bauhaus.ch,Bauhaus Schweiz,diy,CH,manual_seed_2026-09-24,high
ochsnersport.ch,Ochsner Sport,sports,CH,manual_seed_2026-09-24,high
sportxx.ch,SportXX,sports,CH,manual_seed_2026-09-24,high
decathlon.ch,Decathlon Schweiz,sports,CH,manual_seed_2026-09-24,high
exlibris.ch,Ex Libris,books,CH,manual_seed_2026-09-24,high
orellfuessli.ch,Orell Fuessli,books,CH,manual_seed_2026-09-24,high
thalia.ch,Thalia Schweiz,books,CH,manual_seed_2026-09-24,high
zurrose.ch,Zur Rose,pharmacy,CH,manual_seed_2026-09-24,high
shop-apotheke.ch,Shop Apotheke Schweiz,pharmacy,CH,manual_seed_2026-09-24,high
amavita.ch,Amavita,pharmacy,CH,manual_seed_2026-09-24,high
